District/City,New Cases,New Deaths,Total Cases,Total Deaths,Cases Increase(%)
Bagerhat,0,0,1,0,0.0000
Bandarban,0,0,4,0,0.0000
Barguna,0,0,30,1,0.0000
Barishal,0,0,40,0,0.0000
Bhola,1,0,5,0,25.0000
Bogra,1,0,18,0,5.8824
B. Baria,2,0,37,2,5.7143
Chandpur,2,0,13,0,18.1818
Chapainawabganj,0,0,2,0,0.0000
Chattogram,3,0,70,2,4.4776
Chuadanga,0,0,8,0,0.0000
Cox's bazar,0,0,19,0,0.0000
Cumilla,34,0,81,4,72.3404
Dhaka,423,6,3518,88,13.6672
Dinajpur,2,0,18,0,12.5000
Faridpur,3,0,12,0,33.3333
Feni,0,0,4,0,0.0000
Gaibandha,1,0,20,0,5.2632
Gazipur,2,0,320,0,0.6289
Gopalganj,2,0,52,0,4.0000
Hobiganj,4,0,52,0,8.3333
Jamalpur,6,0,58,3,11.5385
Jessore,26,0,62,0,72.2222
Jhalokathi,0,0,6,0,0.0000
Jhenaidah,0,0,19,0,0.0000
Joypurhat,7,0,28,1,33.3333
Khagrachhari,0,0,0,0,0.0000
Khulna,3,0,11,0,37.5000
Kishoreganj,3,0,197,1,1.5464
Kurigram,1,0,7,0,16.6667
Kushtia,3,0,13,0,30.0000
Laksmipur,1,0,35,1,2.9412
Lalmonirhat,1,0,3,0,50.0000
Madaripur,0,0,38,2,0.0000
Magura,2,0,6,0,50.0000
Manikganj,6,0,21,0,40.0000
Moulovi Bazar,0,0,12,2,0.0000
Meherpur,0,0,2,1,0.0000
Munshigonj,27,1,109,4,32.9268
Mymensingh,8,0,125,2,6.8376
Naogaon,14,0,15,0,1400.0000
Narail,0,0,13,0,0.0000
Narayanganj,14,0,863,39,1.6490
Narshingdi,0,0,142,1,0.0000
Natore,0,0,8,0,0.0000
Netrokona,2,0,29,0,7.4074
Nilphamari,2,0,13,0,18.1818
Noakhali,0,0,6,1,0.0000
Pabna,0,0,8,0,0.0000
Panchagar,1,0,8,0,14.2857
Potuakhali,0,0,23,1,0.0000
Pirojpur,0,0,8,0,0.0000
Rajbari,0,0,14,0,0.0000
Rajshahi,9,1,19,2,90.0000
Rangamati,0,0,0,0,0.0000
Rangpur,0,0,28,0,0.0000
Satkhira,0,0,1,0,0.0000
Shariatpur,0,0,24,1,0.0000
Sherpur,2,0,25,0,8.6957
Sirajganj,0,0,3,0,0.0000
Sunamganj,2,0,28,0,7.6923
Sylhet,0,0,16,2,0.0000
Tangail,1,0,28,2,3.7037
Thakurgaon,1,0,16,0,6.6667
